Title,Rating,Year,Genre,Director
Hikku to doragon,8.1,2010,,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler"
Dai-nana no fûin,8.1,1957,,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand"
Ima wo ikiru,8.1,1989,,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard"
Monsutâzu Inku,8.1,2001,,"Pete Docter (dir.), Billy Crystal, John Goodman"
Jozu,8.1,1975,,"Steven Spielberg (dir.), Roy Scheider, Robert Shaw"
Room,8.1,2015,,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay"
Biggu ribousuki,8.1,1998,,"Joel Coen (dir.), Jeff Bridges, John Goodman"
Tôkyô monogatari,8.1,1953,,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama"
Ford v Ferrari,8.1,2019,,"James Mangold (dir.), Matt Damon, Christian Bale"
Sabakaruru Jannu,8.1,1928,,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain"
Hotel Rwanda,8.0,2004,,"Terry George (dir.), Don Cheadle, Sophie Okonedo"
Rokki,8.0,1976,,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire"
Remî no oishii resutoran,8.0,2007,,"Brad Bird (dir.), Brad Garrett, Lou Romano"
Puratôn,8.0,1986,,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger"
Logan,8.0,2017,,"James Mangold (dir.), Hugh Jackman, Patrick Stewart"
Spotlight,8.0,2015,,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton"
Tamineta,8.0,1984,,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton"
Stand by Me,8.0,1986,,"Rob Reiner (dir.), Wil Wheaton, River Phoenix"
Rasshu: Puraido to yûjô,8.0,2013,,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth"
Network,8.0,1976,,"Sidney Lumet (dir.), Faye Dunaway, William Holden"
ビフォア・サンセット,8.0,2004,,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy"
Ozu no mahôtsukai,8.0,1939,,"Victor Fleming (dir.), Judy Garland, Frank Morgan"
Into the Wild,8.0,2007,,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn"
The Best Years of Our Lives,8.0,1946,,"William Wyler (dir.), Myrna Loy, Dana Andrews"
The Exorcist,8.0,1973,,"William Friedkin (dir.), Ellen Burstyn, Max von Sydow"
Koi wa Deja Bu,8.0,1993,,"Harold Ramis (dir.), Bill Murray, Andie MacDowell"
Misutâ inkurediburu,8.0,2004,,"Brad Bird (dir.), Craig T. Nelson, Samuel L. Jackson"
Nikushimi,8.0,1995,,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé"
To Be or Not to Be,8.0,1942,,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny"
Pirates of the Caribbean: The Curse of the Black Pearl,8.0,2003,,"Gore Verbinski (dir.), Johnny Depp, Geoffrey Rush"
Hachi: Yakusoku no inu,8.0,2009,,"Lasse Hallström (dir.), Richard Gere, Joan Allen"
The Grapes of Wrath,8.0,1940,,"John Ford (dir.), Henry Fonda, Jane Darwell"
アルジェの戦い,8.0,1966,,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin"
Pather Panchali,8.0,1955,,"Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee"
